Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
ERNST & YOUNG LLP*667,"KENYA RE TOWERS, OFF RAGATI ROAD, UPPER HILL, P.O. BOX 44286-00100, NAIROBI",Kenya,2024-06-25,2026-12-24,Fraudulent and Corrupt Practices
FUTURE NETWINGS SOLUTIONS LLC.*664,"1900 JAY ELL DRIVE RICHARDSON, RICHARDSON, TX, 75081",United States,2024-06-20,2025-09-19,Controlled Affiliate of a Sanctioned Entity
INTERNATIONAL REAL ESTATE CONSULTING AND INVESTMENT JOINT STOCK COMPANY(FORMERLY KNOWN AS HANOITC EXPERT JOINT STOCK COMPANY) *456,"NO. 5, DINH CLUSTER, AN TRAI VILLAGE, VAN CAN COMMUNE, HOAI DUC DISTRICT, HANOI",Viet Nam,2024-07-08,2999-12-31,"Para. 1.22(a)(ii), May 2010 Consultant Guidelines"
EVSIS AMERICA LLC(Reg. No. 202461617902) *623,"100 WEST BROADWAY, OFFICE #04-111, LONG BEACH, CA, 90802",United States,2024-07-08,2025-12-01,Controlled Affiliate of a Sanctioned Entity.
FUTURE NETWINGS SOLUTIONS PRIVATE LIMITED*664,"SYNERGY BUILDING, 5TH FLOOR, RAJARHAT P.O., THAKDARI ROAD, RAJARHAT, KOLKATA, WEST BENGAL 700 102",India,2024-06-20,2025-09-19,Collusive Practices
MARSEILLE FOR ENGINEERING & TRADING S.A.L. OFFSHORE(MUE Group) (Reg. No. 1967) *662,"OFFICE 605, BUILDING 53, ABDULLAH GHOSHEH STREET 3170, AMMAN 11821",Jordan,2024-05-07,2026-11-06,Corrupt Practice
PT. LPPSLH KONSULTAN*668,"JL. NGESREP BARAT III, NO. 30 G, KEL. SRONDOL KULON, KEC. BANYUMANIK, KOTA SEMARANG, PROVINSI JAWA TENGAH",Indonesia,2024-07-09,2029-12-08,"Fraudulent, Corrupt, and Obstructive Practices"
MARSEILLE FOR ENGINEERING & TRADING S.A.L. OFFSHORE(MUE Group) (Reg. No. 1163) *662,"BADARO STREET, YOUNES BUILDING, FIRST FLOOR, BEIRUT",Lebanon,2024-05-07,2026-11-06,Corrupt Practice
COMSIS INFORMATION TECHNOLOGY SOLUTIONS SERVICES*669,"3RD STREET, TAIMANI, KABUL",Afghanistan,2024-09-19,2026-09-18,Fraudulent Practices
AL ULA ENGINEERING BUREAU(MUE Group) *662,"HOUSE NO. 33, NO. 607 STREET NO. 3, BAGHDAD",Iraq,2024-05-07,2026-11-06,Controlled Affiliate of a Sanctioned Entity
BAXODIR LOG’ON TEKSIL(TIN No. 304332224) *489,"FERGANA DISTRICT, LOGAN QFY, KALACHA STREET, 69, FERGANA REGION",Uzbekistan,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
"ROYAL THAI GROUP CO., LTD.(Reg. No. 0205558001478) *489","NO. 119/57 VILLAGE NO. 11, HUAI YAI SUBDISTRICT, BANG LAMUNG DISTRICT,, CHONBURI PROVINCE",Thailand,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
YOZYOVAN AGRO LYUKS(TIN No. 305967596) *489,"YOZYOVON DISTRICT, VILLAGE CITIZENS' ASSEMBLIES OF YOZYOVON, FERGANA REGION",Uzbekistan,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
COMMUNITY RESILIENCE INITIATIVE(Reg. No. 0086276)*657,"OFFICE NO. 7, BLOCK NO. 19, PHA, G-7/1, 4400 ISLAMABAD",Pakistan,2024-03-26,2027-10-20,Fraudulent Practice
ROYAL THAY BRANCH(TIN No. 303808059) *489,"FERGANA DISTRICT, INDEPENDENCE STREET, 312, FERGANA REGION",Uzbekistan,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
COMPUTECH BUSINESS SERVICES LIMITED*660,"COMPUTECH HOUSE, PLOT #271, CHIKWAWA ROAD, P.O. BOX 2006, BLANTYRE",Malawi,2024-04-09,2027-04-08,Fraudulent Practice
"ROYAL GARDEN HOME CO., LTD.(Reg. No. 0205556035570) *489","NO. 119/57 VILLAGE NO. 11, HUAI YAI SUBDISTRICT, BANG LAMUNG DISTRICT, CHONBURI PROVINCE",Thailand,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
"ROYAL THAI CONSTRUCTION CO., LTD.(Reg. No. 0205556005875) *489","NO. 119/157 VILLAGE NO. 11, HUAI YAI SUBDISTRICT, BANG LAMUNG DISTRICT,, CHONBURI PROVINCE",Thailand,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
HOANG NHAN INVESTMENT AND CONSTRUCTION JSC,"#84B, AUGUST 21 STREET, PHU HA WARD, PHANG RANG-THAP CHAM CITY, NINH THUAN PROVINCE",Viet Nam,2024-06-26,2025-12-25,Obstructive Practice
MR. ORLANDO FAJARDO CASTILLO*666,"C/O CONSTRUCCIONES DEL SIGLO 21 S.A.S., CALLE 109 19 36 P 4, BOGOTA D.C.",Colombia,2024-06-25,2026-10-24,Fraudulent Practice
TAIHAN NETHERLANDS B.V.(Reg. No. 74529579)*658,STROOMBAAN 4 1181 VX AMSTELVEEN,Netherlands,2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
T.E. NEW ZEALAND(Reg. No. 9429031962711)*658,"UNIT 7, 325 TI RAKAU DRIVE, BURSWOOD, AUCKLAND, 2013",New Zealand,2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
"MALESELA T.E.C, LTD.(Reg. No. 2000/007692/07)*658","1 STEEL RD, PEACEHAVEN, VEREENIGING, 1939, GAUTENG",South Africa,2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
TAIHAN CNS(Reg. No. 168-86-01556)*658,"TAIHAN SMART TOWER, 317 SIMIN-DAERO, DONGAN-GU, ANYANG-SI, 14055, GYEONGGI-DO","Korea, Republic of",2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
"TCV CO., LTD.(Reg. No. 3600777040)*658","ROAD NO. 8, LONG THANH INDUTRIAL PARK, TAM AN COMMUNE LONG, THANH DISTRICT, DONG NAI PROVINCE",Viet Nam,2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
FERGANA OSEANA MCHJ(TIN No. 301604464) *489,"FERGANA DISTRICT, LOGAN QFY, KALACHA STREET, 69, FERGANA REGION",Uzbekistan,2019-07-08,2999-12-31,Controlled Affiliate of a Sanctioned Individual
"T.E. USA, LTD.(Reg. No. 13-4147986)*658","99 TULIP AVE, FLORAL PARK, NY, 11001",United States,2024-04-02,2026-10-01,Controlled Affiliate of a Sanctioned Entity
"SOLUTIONS FOR DEVELOPMENT SUPPORT (PVT.) LTD.(Reg, No. 0087430)*656","OFFICE NO. 7, BLOCK NO. 19, PHA, G-7/1, 44000 ISLAMABAD, PAKISTAN",Pakistan,2024-03-26,2027-10-20,Fraudulent Practice
CONSTRUCCIONES DEL SIGLO 21 S.A.S.(f.k.a Constructora Fajardo Nieto Ltda.) *665,"CALLE 109 19 36 P 4, BOGOTA D.C.",Colombia,2024-06-25,2027-09-24,Collusive and Fraudulent Practices
VICTOR FOREST,"28, RUE ROY, CENTRE VILLE, PORT-AU-PRINCE",Haiti,2020-01-21,2026-11-11,Cross Debarment: IDB
JEAN CHARLES AND CO./APEC,"47, COMPLEXE LOUVERTURE APT 4, RUE LOUVERTURE, PÉTION-VILLE",Haiti,2020-01-21,2026-11-11,Cross Debarment: IDB
CANES CHARLES,"47, COMPLEXE LOUVERTURE APT 4, RUE LOUVERTURE, PÉTION-VILLE",Haiti,2020-01-21,2026-11-11,Cross Debarment: IDB
MAGALIE HABITANT,"47, COMPLEXE LOUVERTURE APT 4, RUE LOUVERTURE, PÉTION-VILLE",Haiti,2020-01-21,2026-11-11,Cross Debarment: IDB
A.K.A. INDRALAL GUNATHILAKEMR. G.I.P. GUNATHILAKE,"275/6 A, VITTO MAWATHA HOSPITAL ROAD, KIRIBATHGODA",Sri Lanka,2011-01-03,2999-12-31,Cross Debarment: ADB
WILNER JEAN,"19, RUE DESRAVINES, ROUTE MARIN, PLAINE DU CUL DE SAC, PORT-AU-PRINCE",Haiti,2020-01-21,2029-11-11,Cross Debarment: IDB
HENAN QIANKUN ROAD AND BRIDGE ENGINEERING CO. LTD.(河南乾坤路桥工程有限公司),"NO. 51 GOGNYE ROAD, FENGQIU COUNTY, XIANXIANG CITY, HENAN PROVINCE 453000",China,2019-09-25,2999-12-31,Cross Debarment: ADB
MR. A K M SHAHID ULLAH,"NO. 34 BARDHAN BARI, MIRPUR - 1, DHAKA 1216",Bangladesh,2021-04-09,2999-12-31,Cross Debarment: ADB
"TR CONSTRUYA PANAMÁ, S.A.","CENTRO EMPRESARIAL MAR DEL SUR, OFICINA 5-13, CALLE 1ERA C - NORTE, EL CARMEN, CORREGIMIENTO DE BELLA VISTA, PANAMA CITY",Panama,2021-03-12,2028-02-08,Cross Debarment: IDB
MR. MUSTAFA HAJI ALWY,"#14 HERCULUES STREET, D.15. CURUG PERMAL RESIDENCE, BOGOR CITY 16113, WEST JAVA PROVINCE",Indonesia,2021-04-09,2999-12-31,Cross Debarment: ADB
MAXICARE COMPANY NIGERIA LIMITED,"MILLENNIUM BUILDERS PLAZA, SUITE 204, BLOCK C, PLOT 251, HERBERT MACAULY WAY, CENTRAL BUSINESS DISTRICT, ABUJA",Nigeria,2021-05-19,2999-12-31,Cross Debarment: AfDB
TR CONSTRUYA S.L.U.,"POL. IND. LA GRAVERA. AVDA DEHESA DEL PIOMO, 26, 21440 LEPE, HUELVA",Spain,2021-03-12,2028-02-08,Cross Debarment: IDB
JUAN JOSÉ ACOSTA GONZÁLEZ,"POL. IND. LA GRAVERA. AVDA DEHESA DEL PIOMO, 26, 21440 LEPE, HUELVA",Spain,2021-03-12,2028-02-08,Cross Debarment: IDB
ON-TRACK TECHNICAL SERVICES LIMITED*577,"PLOT 1, KIBUGA BLOCK, MENGO, P.O BOX 75101, KAMPALA",Uganda,2019-10-17,2999-12-31,Cross Debarment: AfDB
GRUPO OLIGARRY PANAMÁ S.A.,"CALLE MURCIA 1, 13610 CAMPO DE CRIPTANA, CIUDAD REAL",Spain,2021-01-28,2029-12-22,Cross Debarment: IDB
AGUSTÍN OLIVARES GARRIGÓS,"CALLE MURCIA 1, 13610 CAMPO DE CRIPTANA, CIUDAD REAL",Spain,2021-01-28,2029-12-22,Cross Debarment: IDB
FRANCISCO SÁNCHEZ MARTÍN,"CALLE MURCIA 1, 13610 CAMPO DE CRIPTANA, CIUDAD REAL",Spain,2021-01-28,2025-12-22,Cross Debarment: IDB
"GRUPO OLIGARRY, S.A.","CALLE MURCIA 1, 13610 CAMPO DE CRIPTANA, CIUDAD REAL",Spain,2021-01-28,2029-12-22,Cross Debarment: IDB
ELGRAO S.A.,"CALLE 50 CON CALLE ELVIRA MÉNDEZ, EDIFICIO FINANCIAL CENTER (TOWERBANK), PISO 29, PANAMA CITY",Panama,2021-01-28,2030-12-22,Cross Debarment: IDB
MR. DAWIT WONDWOSSEN,"OFF NAMANGA ROAD, ATHI RIVER, P.O. BOX 1550-00621, NAIROBI",Kenya,2022-03-29,2025-11-03,Cross Debarment: AfDB
CP POWER EAST AFRICA LIMITED,"OFF NAMANGA ROAD, ATHI RIVER, P.O. BOX 1550-00621, NAIROBI",Kenya,2022-03-29,2025-11-03,Cross Debarment: AfDB
WEIHAI CONSTRUCTION GROUP COLICCON CONSTRUCTION DEVELOPMENT LTD(威海建设集团建联建设发展有限公司)(Reg. No.: 91371000MA3C9DR26U),"NO.44 EAST CULTURE ROAD, HUANCUI DISTRICT, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI JIANDA SOUTHEAST REALESTATE DEVELOPMENT CO., LTD.(威海建大东南置业有限公司)(Reg. No.: 91371000668094254J)","NO.1311-5 ZHUHAI ROAD, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"JIANYE CONSTRUCTION CO., LTD.(威海建设集团建业施工有限公司)(Reg. No.: 91371000863117685H)","NO.42 JINIAN ROAD, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"SHANDONG LANLAN BUILDING MATERIALS TECHNOLOGY CO., LTD.(山东蓝蓝建材科技有限公司)(Reg. No.: 91370181568122158Y)","NO.16288 CENTRURY AVENUE, NORTH OF JIANGZHUNAG VILLAGE, MINGSHUI ECONOM DEVELOPMENT ZONE, ZHANGQIU DISTRICT, JINAN, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
JI’NAN NORTH DESAI FURNITURE RESEARCH AND DEVELOPMENT BASE(济南北方德赛家具研发基地有限公司)(Reg. No.: 913701007988537309),"ROOM 302, NO.8 OFFICE BUILDING IN FACTORY DISTRICT, EXPORT PROCESSING ZONE, HIGH-TECH ZONE, JINAN, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI HENGYE PROPERTY SERVICE CO., LTD.(威海恒业物业服务有限公司)(Reg. No.: 91371000MA3Q1ED967)","NO.271-1 EAST KAIYUAN ROAD, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
3RD CONSTRUCTION BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司第三建筑分公司)(Reg. No.: 91371000706249684H),"NO.38 NORTH QINGDAO ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI AODONG METAL STRUCTURE MANUFACTURING CO., LTD.(威海奥东金属结构制造有限公司)(Reg. No.: 91371000MA3M35C92U)","NORTH OF KAITAI TIYU, NORTH OF NEW LILI LINE AND WEST OF FUZHOU ROAD, QINGSHAN TOWN, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"YANTAI JINWAN AGRICULTURAL PRODUCTS MARKET MANAGEMENT CO., LTD.(烟台金湾农产品市场管理有限公司)(Reg. No.: 91370612MA3CKJLM8R)","ROOM 202, BUILDING NO.21, NO.2 SHANHAI STREET, JIANGGEZHUANG STREET, MOUPING DISTRICT, YANTAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
OMAR ENRIQUE ÁLVAREZ ESCORCIA,"CALLE 98 NO. 42 G 61, TORRE 3,APARTAMENTO 403, MIRADOR DEL MAR L., BARRANQUILLA",Colombia,2021-12-23,2030-11-07,Cross Debarment: IDB
"SHANDONG CONSTRUCTION GROUP TIANJIN INVESTMENT CO., LTD.*(山东省建设集团天津投资有限公司*)(Reg. No.: 91120116697425737E)","NO.12 HANBEI ROAD, ZHAISHANG STREET, BINHAI NEW AREA, TIANJIN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI CONSTRUCTION GROUP CO., LTD COTE D’IVOIRE S.A(Reg. No.: CI-ABJ-2019-B-17683)","25 BP 1566 ABIDJAN 25, COCODY 2, PLATEAUX VALLONS, FACE VILLA MANGO, PRES DU 12E ARRONDISSEMENT, ABIDJAN",Cote d'Ivoire,2022-02-14,2024-10-18,Cross Debarment: AfDB
MECHANIZED CIVIC PROJECT BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司机械化市政工程分公司)(Reg. No.: 91371000166699261Q),"EAST OF SOUTH QINGDAO ROAD AND NORTH OF NANHAI ROAD, WEIHAI",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
ARMANDO GÓMEZ MONSALVE,"CALLE 31 NO. 21-127, BARRIO CAÑAVERAL,FLORIDABLANCA, SANTANDER",Colombia,2021-12-23,2024-11-07,Cross Debarment: IDB
WEIHAI CONSTRUCTION GROUP CO. LTD(Reg. No.: CF/2012/68962),"LR NO.209/4946 HURLINGHAM ROAD, NAIROBI. P.O.BOX 26354-00100, NAIROBI",Kenya,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI CONSTRUCTION GROUP CO., LTD.(Reg. No.: 91371000166697768C)","NO.13 KUNMING ROAD, HUANCUI DISTRICT, WEIHAI CITY, SHANDON PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
MEDIREDES S.A.S. O GESTIÓN Y PROYECTOS CONSTRUCCIONES GROUP S.A.S.,"CALLE 64 NO. 53-25, LOCALES 1 Y 10, BARRANQUILLA",Colombia,2021-12-23,2035-11-07,Cross Debarment: IDB
HEZE BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司菏泽分公司)(Reg. No.: 91371700MA3N09HKXJ),"ROOM 32210, UNIT 03, BLOCK 1, PHASE I, KAIRUI INTERNATIONAL PLAZA, HEZE DEVELOPMENT ZONE, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
INGENIEROS CONSULTORES Y ASESORES TÉCNICOS SOCIEDAD DE RESPONSABILIDAD LIMITADAIngenieros Consultores y Asesores Técnicos Sociedad de Responsabilidad Limitada de Capital Variable,"COLONIA HATO DE ENMEDIO, SECTOR 8, BLOQUE 108, CASA 3902, CALLE PRINCIPAL, IN FRONT OF HOSPITAL SAN JORGE, SAME PLACE AS HOTEL LA ESTANCIA., TEGUCIGALPA",Honduras,2021-12-23,2033-11-21,Cross Debarment: IDB
DONGYING BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD.(威海建设集团股份有限公司东营分公司)(Reg. No.: 91370502734710060R),"NO.198 FUQIAN STREET, DONGYING",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
GOOD LUCK CORNER BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司好运角分公司)(Reg. No.: 91371082MA3MMUP112),"NO.131, CHENGSHAN THIRD VILLAGE, CHENGSHAN TOWN, RONGCHENG CITY, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE CONCRETE BRANCH OF WEIHAI CONSTRUCTI(威海建设集团股份有限公司经济技术开发区混凝土分公司)(Reg. No.: 91371000783474308T),"WEST OF TIANDONG HENAN RAILWAY LINE, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
HARRY VILLALOBOS TEJADA,"CALLE 64 NO. 53-25, LOCALES 1 Y 10, BARRANQUILLA",Colombia,2021-12-23,2035-11-07,Cross Debarment: IDB
TRACTEBEL ENGINEERING S.A.,"BOULEVARD SIMON BOLIVAR, 34-36, 1000 BRUSSELS",Belgium,2021-12-23,2025-09-28,Cross Debarment: IDB
ENOREY INTERNATIONAL BRASIL CONSULTORIA LTDA. (QUANAM BRAZIL),"RUA DEPUTADO JOÃO SUSSUMU HIRATA, 600, CONJUNTO 112, VILA ANDRADE, CEP: 05715-010, SÃO PAULO",Brazil,2022-01-13,2024-12-16,Cross Debarment: IDB
FABRICIO SILVEIRA ALVEZ,"RUA ANITA GARIBALDI, 1143, SALA 709, CEP 90450-001 PORTO ALEGRE, ESTADO DO RIO GRANDE DO SUL",Brazil,2022-01-13,2024-12-16,Cross Debarment: IDB
WALTERIO ROMERO VALLADARES,"COLONIA HATO DE ENMEDIO, SECTOR 8,BLOQUE 108, CASA 3902, CALLE PRINCIPAL, IN FRONT OF HOSPITAL SAN JORGE, SAME PLACE AS HOTEL LA ESTANCIA., TEGUCIGALPA",Honduras,2021-12-23,2033-12-21,Cross Debarment: IDB
SACHA BRECKENFELD RECK,"AV. CORONEL MARCOS KONDER, N. 1207, SALA 98., ITAJAI – SC. BRAZIL",Brazil,2022-02-03,2029-12-26,Cross Debarment: IDB
CHRISTOPHER THIBEDEAU,N/A,Canada,2021-10-18,2025-09-19,Cross Debarment: IDB
"S.D.C CONSULTING CO., LTD. (CAMBODIA)","NO. 06, NATIONAL ROAD NO. 5 AND STREET NO. 13, SANGKAT CHARNG CHAMRES II, KHAN RUSSEY KEO, PHNOM PENH",Cambodia,2021-09-23,2999-12-31,Cross Debarment: ADB
ORANGE CAPITAL LIMITED,"7TH FLOOR, RUTTONJEE HOUSE, 11 DUDDELL STREET, CENTRAL HONG KONG","Hong Kong SAR, China",2021-11-12,2031-10-26,Cross Debarment: IDB
ASESORES BYPSA,"CALLE SAN CAMILO, EDIFICIO LAS TAPARITAS PISO 2, 2-2,LAS PALMAS, CARACAS 1050","Venezuela, Republica Bolivariana de",2021-11-12,2031-10-26,Cross Debarment: IDB
BFG CONSULTING LIMITED,"VISTRA CORPORATE SERVICES CENTRE, WICKHAMS CAY II,ROAD TOWN, TORTOLA, VG1110","Virgin Islands, British",2021-11-12,2031-10-26,Cross Debarment: IDB
ADEMHAN MAKINE TARIM INSAAT GIDA NAKLIYAT ITHALAT IHRACAAT SANAYI VE TICARET LIMAdemhan Makine Tarim Insaat Gida Nakliyat Ithalat Ihracaat Sanayi Ve Ticaret Limited Sirketi,"DICLEKENT MAHALLESI 625, SOK CENTRO PLAZA 2A/BLOK NO. 28, KAYAPINAR, DIYARBAKIR",Turkiye,2021-11-22,2025-02-06,Cross Debarment: ADB
SUSTAINABLE DEVELOPMENT CONSULTANTS (CAMBODIA) LTD.(Reg. No.: So. 0343 KH/2010),"NO. 06, NATIONAL ROAD NO. 5 AND STREET NO. 13, SANGKAT CHARNG CHAMRES II, KHAN RUSSEY KEO, PHNOM PENH",Cambodia,2021-09-23,2999-12-31,Cross Debarment: ADB
DIGIMAX SERVICES LIMITED,"7TH FLOOR, RUTTONJEE HOUSE, 11 DUDDELL STREET, CENTRAL HONG KONG","Hong Kong SAR, China",2021-11-12,2031-10-26,Cross Debarment: IDB
AGUS BASTONI,"BUKIT PAMULANG INDAH B-1/2 RT. 003/009, KELURAHAN PAMULANG BARAT, KECAMATAN PAMULANG, TANGERANG SELATAN 15000",Indonesia,2021-11-24,2999-12-31,Cross Debarment: ADB
TTEK INC.,N/A,Barbados,2021-10-18,2025-09-19,Cross Debarment: IDB
ABDULHAMIT ADEMHAN,"DICLEKENT MAHALLESI 625, SOK CENTRO PLAZA 2A/BLOK NO. 28, KAYAPINAR, DIYARBAKIR",Turkiye,2021-11-22,2025-02-06,Cross Debarment: ADB
NOAH ROSENKRANTZ,"WASHINGTON, DC, 20036",United States,2021-10-18,2029-09-19,Cross Debarment: IDB
ĐOÀN ANH DŨNG,"ROOM 3016, BUILDING B, VINACONEX BUILDING NGUYEN XIEN (PHÒNG 3016 TÒA B VINACONEX 2 NGUYỄN XIỂN), HANOI 100000 (HÀ NỘI)",Viet Nam,2021-06-14,2026-08-17,Cross Debarment: ADB
HOANG MAI CONSTRUCTION IMPORT AND EXPORT JOINT STOCK COMPANY,"NO. 14, TT6B URBAN WEST NAM LINH DAM, HOANG MAI (SỐ 14, TT6B KHU ĐÔ THỊ TÂY NAM LINH ĐÀM, HOÀNG MAI), HANOI 100000 (HÀ NỘI)",Viet Nam,2021-06-14,2026-08-17,Cross Debarment: ADB
HOANG MAI CONSTRUCTION IMPORT AND EXPORT JOINT STOCK COMPANY,"NO. 2/20, LANE 255, HOPE STREET (SỐ 2/20, NGÕ 255, PHỐ VỌNG) DONG TAM WARD, HAI BA TRUNG DISTRICT, HANOI",Viet Nam,2021-06-14,2026-08-17,Cross Debarment: ADB
"WENDENG JIANDA REAL-ESTATE DEVELOPMENT CO., LTD.(文登建大房地产开发有限公司)(Reg. No.: 9137108169689665XX)","NO.134 HEYOU ROAD, WENDENG, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"JINGYUAN BUSINESS HOTEL CO., LTD.(威海景缘商务酒店有限公司)(Reg. No.: 913710007207778036)","NO.42 JINIAN ROAD, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
WEIHAI CONSTRUCTION GROUP JIANHENG INVESTMENT LTD.(威海建设集团建恒建设投资有限公司)(Reg. No.: 91371000MA3C7H5BX8),"NO.21, JIANGSU EAST ROAD, CAOMIAOIAOZI TOWN, WEIHAI LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI JIANDONG REAL ESTATE CO., LTD.(威海建东置业有限公司)(Reg. No.: 91371000MA3M7BQY46)","NO.271-1 EAST KAIYUAN ROAD, LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
"WEIHAI LANJIAN REAL ESTATE CO., LTD.(威海蓝建置业有限公司)(Reg. No.: 91371081MA3NB09B0D)","ROOM 1111, 11TH FLOOR, LANCHUANG BUILDING, NO.38 CHANGHAI ROAD, SOUTH SEA ECONOMIC DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
GAO DISTRICT BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司高区分公司)(Reg. No.: 91371000MA3F4U1C4X),"6TH FLOOR, NO.19-1, SHANDA ROAD, TORCH HIGH-TECH INDUSTRIAL, DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
JING BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司经区分公司)(Reg. No.: 91371000MA3L77HT4T),"NO.19-107, SOUTH DISTRICT, YUEHAI GARDEN, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, WEIHAI, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
HUNAN BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司湖南分公司)(Reg. No.: 91430112MA4PH2D756),"NO. 1, TONGXIN ROAD, WANGCHENG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, CHANGSHA",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
LAIWU BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司莱芜分公司)(Reg. No.: 91371200MA3MN0WYX9),"77 AOMEN SOUTH ROAD, KOU TOWN, LAICHENG DISTRICT, LAIWU, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
QINGDAO BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司青岛分公司)(Reg. No.: 913702207602894849),"ROOM 304, 3RD FLOOR, YIDA DEVELOPMENT BUILDING, NO. 60 BEIJING ROAD, QINGDAO BONDED AREA",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
LINGANG BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司临港区分公司)(Reg. No.: 91371000MA3L7G7WXJ),"2ND FLOOR, NO.271-1, KAIYUAN EAST ROAD, WEIHAI LINGANG ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, SHANDONG PROVINCE",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
JINAN BRANCH OF WEIHAI CONSTRUCTION GROUP CO. LTD(威海建设集团股份有限公司济南分公司)(Reg. No.: 91370100560757722A),"ROOM 201, XIKAKOU OFFICE BUILDING, CUSTOMS EXPORT PROCESSING ZONE, HIGH-TECH ZONE, JINAN",China,2022-02-14,2024-10-18,Cross Debarment: AfDB
